school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,alcohol_total,grade_variation,performance
0,0,0.3385980952503787,1,0,1,1,1,0,2,0,0,-0.7100034375328549,0.0,0.0,0,1,0,0,0,1,1,0,1.2310178115617767,-0.0985437757569029,0.02760788151871166,0.0,-0.7657593842421874,-0.27749266589104,-0.1009804314633858,-1.2582549024448426,-0.7921227045843534,-1.0138824358543128,2,1.1547005383792517,average
0,0,-1.461318095291115,1,0,1,4,2,1,3,1,1,-0.7100034375328549,1.4659250220296964,0.0,0,1,0,1,1,1,1,1,-1.8579958273882704,-1.0464410473233015,-0.9018574629445801,0.0,-0.7657593842421874,1.0731945271207695,-0.8294821155920982,0.7430639187666396,0.4418782182385728,0.2273554553127849,2,0.0,average
0,0,-0.5613600000203681,1,0,1,3,3,2,2,1,0,-0.7100034375328549,0.0,0.0,0,1,0,0,1,1,0,0,-0.31348900791324696,-0.0985437757569029,-0.9018574629445801,0.0,0.6153423623374719,1.0731945271207695,-0.8294821155920982,-0.45772737396024976,0.030544577297597394,-0.18639050840958105,3,1.1547005383792517,average
0,1,-0.5613600000203681,1,1,1,4,3,3,2,3,1,-0.7100034375328549,0.0,0.0,0,1,0,1,1,1,1,0,1.2310178115617767,0.8493534958094956,-0.9018574629445801,0.0,0.6153423623374719,1.0731945271207695,1.3560229367940388,-0.05746360971795332,-0.380789063643378,-0.18639050840958105,3,0.5773502691896257,average
0,0,0.3385980952503787,1,0,0,4,4,2,4,1,1,0.9014650386653104,0.0,0.0,1,1,0,0,1,1,0,0,-0.31348900791324696,-1.9943383188897,0.9570732259820035,0.0,-0.7657593842421874,-1.6281798589028493,-0.1009804314633858,-0.8579911382025462,0.030544577297597394,-0.18639050840958105,2,1.7320508075688772,average
0,1,-1.461318095291115,1,1,0,3,2,3,2,1,1,-0.7100034375328549,0.0,0.0,0,1,0,0,1,1,1,0,-0.31348900791324696,-1.0464410473233015,-0.9018574629445801,0.0,-0.7657593842421874,-1.6281798589028493,-0.8294821155920982,1.143327683008936,1.2645455001205237,1.4685933464798826,2,1.0,excellent
0,1,-1.461318095291115,1,0,1,3,4,2,2,1,1,-0.7100034375328549,0.0,0.0,0,1,0,1,1,1,1,0,1.2310178115617767,1.7972507673758942,-1.831322807407872,0.0,-0.7657593842421874,1.0731945271207695,-0.8294821155920982,-0.05746360971795332,-0.380789063643378,-0.18639050840958105,2,0.5773502691896257,average
0,0,-1.461318095291115,1,0,1,4,4,4,1,3,1,-0.7100034375328549,0.0,0.0,0,1,0,0,1,1,1,0,-1.8579958273882704,-0.0985437757569029,0.02760788151871166,0.0,0.6153423623374719,-0.9528362623969447,-0.1009804314633858,0.7430639187666396,0.4418782182385728,0.2273554553127849,3,0.0,average
0,0,-1.461318095291115,1,0,1,2,1,3,2,3,0,2.5129335148634753,1.4659250220296964,0.0,0,1,0,1,1,1,1,0,1.2310178115617767,-1.0464410473233015,-0.9018574629445801,0.0,-0.7657593842421874,0.3978509306148647,-0.8294821155920982,-0.8579911382025462,-0.380789063643378,-0.18639050840958105,2,1.5275252316519468,average
0,1,-1.461318095291115,1,0,1,4,3,4,2,0,1,0.9014650386653104,0.0,0.0,0,1,0,0,1,1,1,0,1.2310178115617767,0.8493534958094956,0.02760788151871166,0.0,0.6153423623374719,-0.27749266589104,-0.8294821155920982,-0.05746360971795332,-0.380789063643378,-0.18639050840958105,3,0.5773502691896257,average
0,1,-1.461318095291115,1,0,0,2,2,2,2,1,2,-0.7100034375328549,1.4659250220296964,0.0,0,1,0,0,1,1,1,1,-0.31348900791324696,1.7972507673758942,-0.9018574629445801,0.0,-0.7657593842421874,-0.27749266589104,-0.8294821155920982,0.7430639187666396,0.4418782182385728,0.6411014190351508,2,0.5773502691896257,average
0,0,-0.5613600000203681,1,0,1,4,4,1,2,1,1,-0.7100034375328549,-1.4659250220296964,0.0,0,1,0,0,1,1,1,0,-0.31348900791324696,0.8493534958094956,0.9570732259820035,0.0,0.6153423623374719,-0.9528362623969447,1.3560229367940388,1.943855211493529,1.675879141061499,1.4685933464798826,3,0.0,excellent
0,0,-0.5613600000203681,1,0,1,4,4,3,3,3,1,-0.7100034375328549,1.4659250220296964,0.0,0,1,0,1,1,1,1,0,-1.8579958273882704,-1.0464410473233015,0.02760788151871166,0.0,0.6153423623374719,-0.9528362623969447,2.8130263050514634,0.34280015452434315,0.030544577297597394,0.2273554553127849,3,0.5773502691896257,average
0,0,-0.5613600000203681,1,0,1,3,3,2,2,3,1,2.5129335148634753,0.0,0.0,1,1,0,1,1,1,0,0,1.2310178115617767,-0.0985437757569029,-0.9018574629445801,0.0,-0.7657593842421874,0.3978509306148647,-0.1009804314633858,0.34280015452434315,0.4418782182385728,0.2273554553127849,2,0.5773502691896257,average
0,1,-0.5613600000203681,1,1,1,4,3,1,2,1,0,-0.7100034375328549,-1.4659250220296964,0.0,0,0,0,1,1,1,1,0,-1.8579958273882704,-1.9943383188897,0.02760788151871166,0.0,1.996444108917131,1.0731945271207695,1.3560229367940388,-0.05746360971795332,-0.380789063643378,-0.600136472131947,4,0.0,average
0,1,-1.461318095291115,1,0,1,4,3,4,2,3,1,-0.7100034375328549,0.0,0.0,0,0,0,0,1,1,1,0,-0.31348900791324696,0.8493534958094956,-1.831322807407872,0.0,-0.7657593842421874,-1.6281798589028493,-0.8294821155920982,-0.05746360971795332,0.030544577297597394,0.2273554553127849,2,1.0,average
0,1,-1.461318095291115,1,0,1,4,4,1,1,2,0,-0.7100034375328549,-1.4659250220296964,0.0,0,1,1,0,1,1,1,0,1.2310178115617767,0.8493534958094956,-0.9018574629445801,0.0,-0.7657593842421874,1.0731945271207695,-0.8294821155920982,-0.45772737396024976,-0.380789063643378,-0.600136472131947,2,0.5773502691896257,average
0,1,-0.5613600000203681,1,1,1,4,2,4,2,0,1,-0.7100034375328549,0.0,0.0,0,0,0,1,1,1,1,0,-0.31348900791324696,1.7972507673758942,-1.831322807407872,0.0,1.996444108917131,1.0731945271207695,-0.8294821155920982,-0.05746360971795332,0.030544577297597394,0.2273554553127849,4,1.0,average
0,1,-1.461318095291115,1,0,1,2,2,2,2,1,1,-0.7100034375328549,-1.4659250220296964,0.0,0,1,0,0,1,1,1,0,-0.31348900791324696,-1.0464410473233015,-0.9018574629445801,0.0,0.6153423623374719,1.0731945271207695,2.084524620922751,-0.45772737396024976,-0.380789063643378,-0.600136472131947,3,0.5773502691896257,average
0,1,-0.5613600000203681,1,1,0,3,4,3,2,1,1,-0.7100034375328549,0.0,0.0,1,1,1,1,1,1,1,0,1.2310178115617767,-0.0985437757569029,0.02760788151871166,0.0,-0.7657593842421874,1.0731945271207695,-0.1009804314633858,-0.05746360971795332,-0.380789063643378,-0.18639050840958105,2,0.5773502691896257,average
0,1,-1.461318095291115,1,0,1,4,4,3,3,3,1,0.9014650386653104,0.0,0.0,0,1,0,1,1,1,1,0,-0.31348900791324696,-0.0985437757569029,-1.831322807407872,0.0,-0.7657593842421874,1.0731945271207695,-0.1009804314633858,1.143327683008936,0.8532118591795482,0.6411014190351508,2,0.0,average
0,1,-1.461318095291115,0,0,1,4,3,4,0,0,1,-0.7100034375328549,0.0,0.0,0,1,0,1,1,1,1,1,-0.31348900791324696,1.7972507673758942,-0.9018574629445801,0.0,-0.7657593842421874,1.0731945271207695,-0.8294821155920982,0.34280015452434315,0.4418782182385728,0.6411014190351508,2,1.0,average
0,1,-0.5613600000203681,1,0,1,3,2,2,2,1,1,-0.7100034375328549,-1.4659250220296964,0.0,0,1,0,0,0,1,1,0,1.2310178115617767,0.8493534958094956,0.02760788151871166,0.0,-0.7657593842421874,1.0731945271207695,0.6275212526653265,-0.05746360971795332,-0.380789063643378,-0.600136472131947,2,0.0,average
0,0,-1.461318095291115,1,0,1,2,3,2,2,2,0,0.9014650386653104,-1.4659250220296964,0.0,0,1,0,1,1,1,0,0,-1.8579958273882704,1.7972507673758942,-1.831322807407872,0.0,-0.7657593842421874,1.0731945271207695,0.6275212526653265,-0.45772737396024976,-0.7921227045843534,-1.0138824358543128,2,0.0,average
0,1,-1.461318095291115,1,1,1,4,3,4,3,1,1,-0.7100034375328549,1.4659250220296964,0.0,0,1,0,1,1,1,1,0,1.2310178115617767,0.8493534958094956,0.02760788151871166,0.0,-0.7657593842421874,0.3978509306148647,-0.8294821155920982,0.7430639187666396,0.4418782182385728,0.2273554553127849,2,0.0,average
0,0,-1.461318095291115,0,0,1,3,4,3,1,0,1,-0.7100034375328549,1.4659250220296964,0.0,1,1,0,1,1,1,1,0,-0.31348900791324696,-0.0985437757569029,-0.9018574629445801,0.0,-0.7657593842421874,1.0731945271207695,-0.1009804314633858,-0.45772737396024976,-0.380789063643378,-0.600136472131947,2,0.5773502691896257,average
0,1,-1.461318095291115,1,0,1,4,4,3,4,0,0,-0.7100034375328549,0.0,0.0,0,1,0,1,1,1,1,0,-0.31348900791324696,-0.0985437757569029,0.02760788151871166,0.0,-0.7657593842421874,1.0731945271207695,-0.8294821155920982,0.7430639187666396,0.8532118591795482,0.6411014190351508,2,0.5773502691896257,average
0,1,-1.461318095291115,1,0,1,2,2,3,3,0,0,-0.7100034375328549,-1.4659250220296964,0.0,1,1,0,0,1,1,1,0,1.2310178115617767,0.8493534958094956,-1.831322807407872,0.0,-0.7657593842421874,-1.6281798589028493,-0.8294821155920982,-1.2582549024448426,-1.2034563455253289,-1.4276283995766788,2,0.5773502691896257,poor
0,0,-1.461318095291115,1,1,0,4,3,2,2,0,1,-0.7100034375328549,0.0,0.0,1,1,1,1,1,1,1,1,1.2310178115617767,-1.0464410473233015,-0.9018574629445801,0.0,-0.7657593842421874,1.0731945271207695,0.6275212526653265,-0.8579911382025462,-0.7921227045843534,-1.0138824358543128,2,0.5773502691896257,average
